Hash,signal_id
-7856275154982702069,143786
-4896801285892879633,143865
6724099677423559425,143863
-5255169205204853891,143787
8733269007042797554,143915
-3589445277914731921,143886
537159119778626058,143706
77811150610808901,143828
-7977193480493051032,143724
-2358355450578096033,143710
-5945053003952040731,143829
-3192761774480445061,143830
6426053077849250349,143809
-279519072222193310,143818
-7167413747997058334,143810
-1640813456366522817,143815
-7121423243345984505,143816
-3292970291888819223,143814
-7641805651220729820,143808
2571832113771383604,143811
1755050650105074289,143807
3345331591481369850,143817
1319114166897015165,143812
-328978230271369104,143813
3390592217667073669,143944
-7658488403888866372,143934
5322401750348926494,143932
-5511114761935287868,143933
-5792039470584270718,143931
1658970162092779505,143943
1479463017347841263,143899
-2853607589209746794,143898
2519240822627360418,143897
-7083242225994277083,143939
653365200956025861,143935
-7574212370855785467,143936
-6634350787492695191,143937
8453912329774844607,143938
3819412119399639746,143940
-7114160140466607099,143849
-5729582444787133401,143850
3750449861844080319,143896
-8941013608165109801,143834
-7629901294285800489,143941
-428080299670138876,143942
4052069970789046049,143900
-1865242209307791018,143699
5168134929519447351,143837
-4008745215546392490,143755
1862711662630599354,143820
1062558581574633222,143895
-2546504901409410617,143894
-6322633746701446443,143819
-7475981518175438245,143891
1570982030019408751,143949
-3281823797833177286,143950
7637225004427669884,143758
-5017723001950358044,143836
-1221261961319850966,143759
5227854515522862111,143748
-300839918237703137,143747
6363239597513461924,143745
7594008376891095183,143746
-2070709449265722477,143744
5896885332366924197,143742
1494070443284988130,143743
4398339464766684630,143749
-6116767953194753613,143833
-8478345183183907418,143741
4909529821010049459,143726
1340146612545066050,143804
-2433115046851643256,143806
-4611860915369937537,143878
-8892443764994769062,143882
-6307179248383262976,143725
3055705552764247262,143803
-3058893499013945548,143805
1199294862450360167,143877
-4553590493670650870,143881
-5445811275624065485,143928
3984029485702530510,143927
-684134915829642848,143929
7591147329290491559,143930
3178138776605343242,143879
-1496901899716632415,143801
-8528515656480831657,143802
1676892201354652513,143880
-3257171709988796943,143010
7386079743314042987,143008
-892847557880887059,143009
-8634914986112308682,143012
-3777809759186613789,143455
-9140420616750913179,143454
-4879325700816425358,143011
-5379891822968065138,143444
-8661163838642174804,143004
-5111463652258414788,143443
2196837143409040716,143003
6658520740840493096,143445
-4780005358238892347,143450
3834802172814210870,143006
-5176025381145734579,143449
-5220655542139710882,143005
4906830983037326909,143448
7813639244786757256,142954
-2554096533242870830,142961
-6514884081802031878,142962
6751565784832894596,142955
-2389712381499246683,142956
5865880583419519391,142957
-7192438902560351062,142958
-8117605956415893832,142959
7063702550514092106,142960
7422265396087471575,142963
4121678342571763981,142964
1290589288828938170,142953
-5869098421734851219,143453
-5724942575670941968,143447
-689975714930432890,143452
3048195899902313487,143451
2072575772290822388,143446
-1119455759467597983,143017
-8964431408903689670,143000
-2378039221491288521,143014
-8641064998238126256,143013
5611092332866835127,143292
3995887861631701615,143021
-2326276906706867213,143020
-5933074702380708955,143019
-1820526545143151380,143018
5729868413855903327,143016
-2069370780124420064,143015
-1391019381936912583,143007
1072045699411979611,143041
-7290468472638567346,143043
1395515497951616395,143042
-2579652402130292813,143040
-3979183679047830309,143475
-673679782757593651,143476
-5021090467552840362,143385
-360620329671471143,142828
-5436589965068678290,143044
-5583812254455322335,143039
-8526817982356534288,143474
3716989637316797836,143470
7346759303101397264,143473
1359989381417700411,143469
9123747869018326420,143037
5775434704980812230,143472
1135539565792447706,143478
-7002663859870833395,143038
9042499087257272501,143471
-6140483930390065951,143479
150943550338571971,143480
-8787476624200534132,143387
9158409914321199117,142827
5919435161279890602,143386
-4970294516203242680,143477
5414526604972367293,143028
8084473593132377699,143026
7858791287207721082,143027
-4398503695014433916,143030
-2566935852284357511,143468
-8326983477709581127,143467
3482227141853063821,143029
399559833242343374,143457
4980174022083484725,143023
4916417056655565342,143456
-918080461417292980,143022
6847241069811584439,143458
-1169700720616770994,143463
-7505639927738449524,143024
-7525901613310855045,143462
-543861362828164389,143293
-7449625183215936805,143461
-5196196223694074498,142942
-6893742591985795944,142949
-1475888204166059621,142950
-754012638732787427,142943
5967395179117821060,142944
-6323474183575938740,142945
4931209508546749613,142946
-1355399793858031665,142947
2359294290951498962,142948
7751817517853081450,142951
-7686545313993912905,142952
-7397032225709650645,142941
138159783948369619,143466
-7915834996820486686,143460
6428366904700444322,143465
-2508621092373617843,143464
8132753431577987533,143459
-812407102196821200,143383
3106411697614461651,143001
5918535342125615693,143384
-3420830432888932852,143032
-2981676032299887515,143031
6818062944504602730,143294
-8672569621437464534,143035
-5044693882764246315,143036
2681724662217605500,143034
-1681853238737825900,143033
5271618358119101967,143382
-4447348915501965393,143381
-1106530955930080103,143025
-9033002243730285268,143388
2756688154902095828,143047
738022686830282560,143048
8201917073533948625,143045
-3167980954193348530,143483
-4746790364504741899,143484
3387541655470239957,143049
-8555109523045511159,143046
-5543598694472988463,142829
-1912019325803666418,142830
-1327479247742616122,143257
2703224025006478557,143258
3561066085024109902,143259
-3852021075878077824,143277
6764118591327936518,143260
-8481695627878075327,143256
62518020841456281,143274
3988422552299821834,143273
6245596384683516735,143252
-47073243001019628,143282
-3623538942761275924,143283
-1413573799496483848,143253
6105569744306772616,143409
4357465527584443220,143254
-2956848261712855430,143251
6954324360502240800,143261
3398864471449870957,143262
6780054619351796988,143263
325054740278614827,143264
-1103005429678611486,143265
6101861190215600568,143266
-447701255046989317,142898
1433268427357170271,143440
6662295265433429140,143317
-2092711378762248718,143255
-2980848348936650688,142897
8905370763384544713,143289
-5328779094276958229,143276
4560185257823357505,143275
-8413748447317464784,143281
1707096631972884876,143608
5904668066621090527,143682
